name,metric,min,max,avg,sd,median,pct90,pct95,pct99
Structs,ops,39,44,42.36666666666667,1.0482790129010924,42,42,44,38
Structs,ns/op,26015779,27815655,26708176.5,395454.0259452629,26750166,27815655,26154326,27078729
Structs,allocs/op,0,0,0,0,0,0,0,0
Structs,B/op,18181957,20512978,18894986.5,488190.3058203669,18826279,19047765,18383309,20976904
StructsClojures,ops,6,6,6,0,6,6,6,6
StructsClojures,ns/op,173875617,177690483,174831284.46666667,852000.8556004988,175023125,173875617,174283542,174772968
StructsClojures,allocs/op,200002,200002,200002,0,200002,200002,200002,200002
StructsClojures,B/op,955742565,955742629,955742575.1333333,13.999365064967142,955742581,955742581,955742557,955742565
StringsRef,ops,548,566,557.2,4.3619567474548235,558,560,569,544
StringsRef,ns/op,2069894,2132964,2086475.5,13122.859093327694,2089364,2081599,2105287,2064663
StringsRef,allocs/op,100352,100364,100358.06666666667,2.8158282775923835,100357,100356,100350,100367
StringsRef,B/op,1608494,1608773,1608628.6,67.56606643377528,1608615,1608585,1608449,1608834
Strings,ops,54583,55599,55214.433333333334,237.7345415000147,55252,55082,55667,54802
Strings,ns/op,20990,21474,21104.066666666666,85.47667648091036,21127,21119,21161,20965
Strings,allocs/op,3,3,3,0,3,3,3,3
Strings,B/op,86,88,86.56666666666666,0.5587684871413404,86,87,86,88
StructsRef,ops,7,8,7.933333333333334,0.2494438257849295,8,8,8,8
StructsRef,ns/op,137655312,144854871,139449424.4,1867867.784202576,138561556,138675038,137145449,138720022
StructsRef,allocs/op,100000,100000,100000,0,100000,100000,100000,100000
StructsRef,B/op,919200768,933486605,920153163.1,3563510.503982913,919200774,919200768,919200840,919200734
StringsClojures,ops,85,90,88.46666666666667,1.3349989596333853,89,90,87,88
StringsClojures,ns/op,13220541,13642752,13341537.9,93770.79578964516,13301549,13396768,13560844,13453778
StringsClojures,allocs/op,102221,102352,102260.3,34.46558670132668,102246,102221,102298,102272
StringsClojures,B/op,4853460,4856599,4854401.233333333,825.0381681406558,4854070,4853468,4855286,4854661
Ints,ops,55544,57704,57041.933333333334,475.31112150066747,57312,57363,56060,58065
Ints,ns/op,20845,22056,21045.4,212.41917678652896,20971,21007,20971,20913
Ints,allocs/op,0,0,0,0,0,0,0,0
Ints,B/op,13,14,13.666666666666666,0.47140452079103173,13,13,15,12
IntsClojures,ops,85,99,90.2,3.2598568475727068,90,85,94,103
IntsClojures,ns/op,12813925,13151102,12980008.866666667,90076.09335842422,12965675,12904468,13274419,12942289
IntsClojures,allocs/op,100002,100030,100005.26666666666,7.406903686576616,100002,100002,100002,100002
IntsClojures,B/op,3208139,3221829,3210445.7333333334,3393.7194829403456,3208933,3209495,3208558,3207791
IntsRef,ops,1224,1329,1293.5333333333333,25.773026382031443,1307,1269,1359,1305
IntsRef,ns/op,921708,943322,927913.7666666667,4648.867071185791,936086,924402,920813,926196
IntsRef,allocs/op,100000,100000,100000,0,100000,100000,100000,100000
IntsRef,B/op,800609,800661,800626.6666666666,12.554768903576925,800620,800638,800595,800623
